bse_symbol,nse_symbol,bse_token,nse_token
HITECHCORP,HITECHCORP,134711556,3881217
FILATEX,FILATEX,134714116,6280193
MERCATOR,MERCATOR,134716164,3040257
PREMEXPLQ,PREMEXPLN,134719236,4453633
MOLDTEK,MOLDTECH,134723332,4512001
MPHASIS,MPHASIS,134732548,1152769
ORIENTLTD,ORIENTLTD,134739204,4661249
GANESHHOUC,GANESHHOUC,134749956,3670785
NMDC,NMDC,134750980,3924993
PATINTLOG,PATINTLOG,134753540,3896065
ALPHAGEO,ALPHAGEO,134757636,3736833
SANGHIIND,SANGHIIND,134789380,767233
CCHHL,CCHHL,134796804,
TECHIN,TECHIN,134803460,
TPLPLAST,TPLPLASTEH,134804996,2360065
LIBERTSHOE,LIBERTSHOE,134808580,510465
ELECTHERM,ELECTHERM,134811652,1144065
BLUEDART,BLUEDART,134812676,126721
MIRZAINT,MIRZAINT,134820356,1124865
TFCILTD,TFCILTD,134822404,887297
ARENTERP,ARENTERP,134825476,46337
BIL,BIL,134826500,
KAMATHOTEL,KAMATHOTEL,134827012,
DALALSTCOM,DALALSTCOM,134829316,
HOTELRUGBY,HOTELRUGBY,134830852,1029121
SANDESH,SANDESH,134841604,764929
GOLDIAM,GOLDIAM,134842628,3064577
GREENPLY,GREENPLY,134860036,1020673
SEAMECLTD,SEAMECLTD,134862596,669697
CONFIPET,CONFIPET,134868228,2620929
BANARBEADS,BANARBEADS,134873348,88833
63MOONS,63MOONS,134881540,
SARLAPOLY,SARLAPOLY,134882564,3595009
21STCENMGM,21STCENMGM,134891780,1025
LAOPALA,LAOPALA,134898436,3692289
VENUSREM,VENUSREM,134899972,3547905
URJAGLOBA,URJA,134908676,5171969
ASHAPURMIN,ASHAPURMIN,134912260,51969
GUJALKALI,GUJALKALI,135680260,324353
INDIACEM,INDIACEM,135681284,387841
JKTYRE,JKTYRE,135681796,3695361
MANGCHEFER,MANGCHEFER,135682820,3841793
SIL,SIL,135684356,
JUBLPHARMA,JUBLPHARMA,135684868,931073
THEINVEST,THEINVEST,135685892,5485313
MOHOTAIND,MOHOTAIND,135692036,1029889
SANGHVIMOV,SANGHVIMOV,135698692,3598849
SELAN,SELAN,135699204,3481089
PRIVISCL,PRIVISCL,135709956,2259201
OPTIEMUS,OPTIEMUS,135714564,5496065
THEMISMED,THEMISMED,135730948,3708161
SUVEN,SUVEN,135741188,2875649
KOTHARIPRO,KOTHARIPRO,135756548,1415169
CHAMANSEQ,CLSEL,135758596,891393
GENUSPOWER,GENUSPOWER,135767812,3047681
UGARSUGAR,UGARSUGAR,135772932,5011969
ORIENTBELL,ORIENTBELL,135773444,3655169
NRBBEARING,NRBBEARING,135773956,1933569
NILA,NILAINFRA,135776516,2368769
DBSTOCKBRO,DBSTOCKBRO,135780612,
RELAXO,RELAXO,135812356,6201601
SHILPAMED,SHILPAMED,135820548,4544513
PARACABLES,PARACABLES,135822084,3571457
GOODLUCK,GOODLUCK,135847684,1568001
RAJRAYON,RAJRAYON,135858948,
ALPSINDUS,ALPSINDUS,135863044,1039361
STERTOOLS,STERTOOLS,135874308,1100545
BHAGIL,BHAGERIA,135885572,3430401
KRBL,KRBL,135888132,2707713
CUPID,CUPID,135895812,4741121
CHEMBOND,CHEMBOND,135902980,3742209
REMSONSIND,REMSONSIND,135915268,1015041
SABTN,SABTN,135921412,
VIKASECO,VIKASECO,135926020,
IOC,IOC,135927044,415745
BALAMINES,BALAMINES,135935748,3712257
ALANKIT,ALANKIT,135956996,2539777
OMINFRAL,OMINFRAL,135959556,6203137
PATELENG,PATELENG,135966724,2994945
ALICON,ALICON,135973636,3495937
EMAMILTD,EMAMILTD,135977476,3460353
ARMANFIN,ARMANFIN,135981828,4419329
NUCLEUS,NUCLEUS,135989508,2762497
MANAPPURAM,MANAPPURAM,135990532,4879617
LINCPENQ,LINCPEN,135997700,1779457
VSTTILLERS,VSTTILLERS,136004100,6218753
HAVISHA,HAVISHA,136018436,
ZYDUSWELL,ZYDUSWELL,136021764,4514561
JUMPNET,JUMPNET,136022276,3085313
CONCOR,CONCOR,136024068,1215745
PANACEABIO,PANACEABIO,136025348,1038081
THEBYKE,BYKE,136031492,
ARIHANT,ARIHANT,136033540,3554561
ALMONDZ,ALMONDZ,136038404,4280065
TNPL,TNPL,136045060,1018881
SHAKTIPUMP,SHAKTIPUMP,136046340,6546945
GOLDTECH,GOLDTECH,136048388,2527745
MOHITIND,MOHITIND,136051972,7532289
MADHUCON,MADHUCON,136063236,3499777
RAJESHEXPO,RAJESHEXPO,136064004,1894657
EVEREADY,EVEREADY,136066052,3016193
VIKASPROP,VIKASPROP,136068612,3109889
HATSUN,HATSUN,136071940,996353
JINDWORLD,JINDWORLD,136075012,5284353
SOMANYCERA,SOMANYCERA,136076292,993281
CORALFINAC,CORALFINAC,136078340,1025793
CGCL,CGCL,136088324,5204225
FDC,FDC,136089348,1253889
COUNCODOS,COUNCODOS,136095748,4348417
LINCOPH,LINCOLN,136098052,2968577
MARICO,MARICO,136100356,1041153
VIDHIING,VIDHIING,136119556,3465217
PRAENG,PRAENG,136126980,3568897
APOLLOPIPES,APOLLOPIPE,136130820,3676417
POLYMED,POLYMED,136132612,6583809
ATULAUTO,ATULAUTO,136139524,7685889
PIONDIST,PIONDIST,136161028,4861953
KHANDSE,KHANDSE,136164356,2468097
AGARIND,AGARIND,136171780,867585
AMBIKCO,AMBIKCO,136186372,3899905
LCCINFOTEC,LCCINFOTEC,136196868,
JAINSTUDIO,JAINSTUDIO,136200452,
SWELECTES,SWELECTES,136205060,3048705
KDDL,KDDL,136205828,3816449
BSELINFRA,BSELINFRA,136223492,2469633
BANKBARODA,BANKBARODA,136226308,1195009
ANDHRACEMT,ANDHRACEMT,136228100,
SKMEGGPROD,SKMEGGPROD,136228612,1211393
WELCORP,WELCORP,136228868,3026177
BANKINDIA,BANKINDIA,136230148,1214721
INDRAMEDCO,INDRAMEDCO,136230404,1216257
GAIL,GAIL,136231684,1207553
VAIBHAVGBL,VAIBHAVGBL,136231940,2909185
JKPAPER,JKPAPER,136233476,3036161
SAREGAMA,SAREGAMA,136233732,1252353
ADROITINFO,ADROITINFO,136236036,1267969
CYBERTECH,CYBERTECH,136236292,1549057
ICICIBANK,ICICIBANK,136236548,1270529
CYIENT,CYIENT,136236804,1471489
ENGINERSIN,ENGINERSIN,136237572,1256193
DHANBANK,DHANBANK,136238084,2907905
GMDCLTD,GMDCLTD,136238340,1332225
INDUSINDBK,INDUSINDBK,136239876,1346049
ITDC,ITDC,136240388,4940545
J&KBANK,J&KBANK,136245508,1442049
CUB,CUB,136245764,1459457
ARCHIES,ARCHIES,136246276,1456129
AXISBANK,AXISBANK,136247044,1510401
HBSTOCK,HBSL,136247300,1053697
SOUTHBANK,SOUTHBANK,136247812,1522689
ENERGYDEV,ENERGYDEV,136248068,3852545
SONATSOFTW,SONATSOFTW,136248580,1688577
NATIONALUM,NATIONALUM,136251908,1629185
INDNIPPON,INDNIPPON,136253444,1215233
NSIL,NSIL,136257540,2877185
APARINDS,APARINDS,136258308,2941697
ACCELYA,ACCELYA,136260612,1805569
HCLTECH,HCLTECH,136263940,1850625
GEOJITFSL,GEOJITFSL,136264964,3045377
JINDALSTEL,JINDALSTEL,136265220,1723649
BLBLIMITED,BLBLIMITED,136266244,2081793
GLENMARK,GLENMARK,136267780,1895937
WOCKPHARMA,WOCKPHARMA,136268804,1921537
TATACOFFEE,TATACOFFEE,136269060,185345
INDSWFTLAB,INDSWFTLAB,136270084,1246721
MELSTAR,MELSTAR,136270596,
GEPIL,GEPIL,136271108,2012673
SHREERAMA,SHREERAMA,136271364,1952513
MAHLIFE,MAHLIFE,136272132,2060801
CADILAHC,CADILAHC,136274180,2029825
CINEVISTA,CINEVISTA,136274948,
INTENTECH,INTENTECH,136275460,5138177
AJANTPHARM,AJANTPHARM,136276740,2079745
AMBICAAGAR,AMBICAAGAR,136277764,2942977
COMPUSOFT,COMPUSOFT,136278788,7971329
IZMO,IZMO,136279300,3628545
TVSMOTOR,TVSMOTOR,136279812,2170625
GATI,GATI,136280324,3504129
SUBEX,SUBEXLTD,136281092,247553
TCI,TCI,136281348,2708481
AKSHOPTFBR,AKSHOPTFBR,136281860,
TRIVENI,TRIVENI,136283140,3348737
MUKTAARTS,MUKTAARTS,136283396,2223873
DSSL,DSSL,136285444,6576641
PNBGILTS,PNBGILTS,136285700,2236417
BCG,BCG,136286212,2261249
RAMCOIND,RAMCOIND,136286468,1174273
RAMCOSYS,RAMCOSYS,136286724,2009857
TTML,TTML,136286980,2292225
STLTECH,STLTECH,136287748,2383105
TIPSINDLTD,TIPSINDLTD,136288004,2333953
MRO-TEK,MRO-TEK,136288260,2303489
BALAJITELE,BALAJITELE,136289796,2344449
CALSOFT,CALSOFT,136290820,2135297
PNC,PNC,136291076,
IOB,IOB,136291332,2393089
TAJGVK,TAJGVK,136291844,2394625
OPTOCIRCUI,OPTOCIRCUI,136292100,
CREATIVEYE,CREATIVEYE,136292356,2402305
AXISCADES,AXISCADES,136293124,2415617
UMESLTD,UMESLTD,136293892,
BSOFT,BSOFT,136294404,1790465
MEGASOFT,MEGASOFT,136296452,
CEREBRAINT,CEREBRAINT,136297732,7683073
NEXTMEDIA,NEXTMEDIA,136298500,2525953
SMARTLINK,SMARTLINK,136299268,2531585
GODREJCP,GODREJCP,136300548,2585345
BFUTILITIE,BFUTILITIE,136302084,3729153
UNITDSPR,MCDOWELL-N,136302596,2674433
OLECTRA,OLECTRA,136304388,2723073
MPSLTD,MPSLTD,136304644,2707969
CERA,CERA,136305412,3849985
BHARTIARTL,BHARTIARTL,136308228,2714625
COMPUAGE,COMPINFO,136308740,4513793
GULPOLY,GULPOLY,136308996,1609217
PONNIERODE,PONNIERODE,136309764,2729217
PNB,PNB,136310020,2730497
OFSS,OFSS,136311300,2748929
APTECHT,APTECHT,136313604,2753281
UNIONBANK,UNIONBANK,136314116,2752769
UBL,UBL,136314372,4278529
ISMTLTD,ISMTLTD,136314628,
NOIDATOLL,NOIDATOLL,136315140,2761217
GRANULES,GRANULES,136315396,3039233
CANBK,CANBK,136315652,2763265
POKARNA,POKARNA,136316420,4518657
DIVISLAB,DIVISLAB,136316932,2800641
ASTRAMICRO,ASTRAMICRO,136318212,2974209
RADICO,RADICO,136319236,2813441
SHRIRAMCIT,SHRIRAMCIT,136319492,3005185
MARUTI,MARUTI,136320004,2815745
NAVINFLUOR,NAVINFLUOR,136321028,3756033
UCOBANK,UCOBANK,136321284,2873089
BAGFILMS,BAGFILMS,136321796,
JSL,JSL,136322052,2876417
SUPRAJIT,SUPRAJIT,136322308,2992385
TVSELECT,TVSELECT,136323332,2883841
IGL,IGL,136323588,2883073
TVTODAY,TVTODAY,136323844,2886401
PALRED,PALREDTEC,136325380,4367873
PETRONET,PETRONET,136325636,2905857
BIOCON,BIOCON,136325892,2911489
PTC,PTC,136326148,2906881
MAHABANK,MAHABANK,136326404,2912513
RKFORGE,RKFORGE,136326916,2921217
DATAMATICS,DATAMATICS,136327172,2924289
NDTV,NDTV,136327428,2925313
STAR,STAR,136327940,1887745
JPASSOCIAT,JPASSOCIAT,136328196,2933761
ULTRACEMCO,ULTRACEMCO,136329732,2952193
MINDAIND,MINDAIND,136329988,3623425
TCS,TCS,136330244,2953217
COFORGE,COFORGE,136330500,2955009
GULFPETRO,GULFPETRO,136331012,2964737
CENTURYPLY,CENTURYPLY,136332292,3406081
WELENT,WELENT,136333572,2976257
NTPC,NTPC,136334084,2977281
SALSTEEL,SALSTEEL,136346628,
JBMA,JBMA,136346884,2983681
DWARKESH,DWARKESH,136348164,2986753
INDOCO,INDOCO,136348676,2989313
VIPCLOTHNG,VIPCLOTHNG,136348932,3799809
IMPEXFERRO,IMPEXFERRO,136349188,
XCHANGING,XCHANGING,136349700,2996481
JETAIRWAYS,JETAIRWAYS,136349956,
MORARJEE,MORARJEE,136350980,7392513
GDL,GDL,136351236,3004161
JINDALPHOT,JINDALPHOT,136351748,
JPPOWER,JPPOWER,136352516,3011329
3IINFOTECH,3IINFOTECH,136352772,3014145
MBECL,MBECL,136353028,
GOKEX,GOKEX,136353284,3015169
ALLSEC,ALLSEC,136354052,3020289
IIFL,IIFL,136354820,3023105
MANGALAM,MANGALAM,136355076,3025153
SHOPERSTOP,SHOPERSTOP,136355332,3024129
CYBERMEDIA,CYBERMEDIA,136355844,3031553
NDL,NDL,136356100,
JSWHL,JSWHL,136356356,3041281
JKCEMENT,JKCEMENT,136356868,3397121
YESBANK,YESBANK,136357892,3050241
NECLIFE,NECLIFE,136358148,3053313
MSPL,MSPL,136358404,
SPLIL,SPLIL,136358660,3055361
KTKBANK,KTKBANK,136358916,2061825
MCLEODRUSS,MCLEODRUSS,136359428,3057409
IDFC,IDFC,136360708,3060993
VIVIMEDLAB,VIVIMEDLAB,136360964,
RML,RML,136361220,3065601
HTMEDIA,HTMEDIA,136361476,3066625
SASKEN,SASKEN,136361732,3067649
FCSSOFT,FCSSOFT,136362500,
SUZLON,SUZLON,136362756,3076609
AURIONPRO,AURIONPRO,136363012,3077633
RENUKA,RENUKA,136363524,3078657
KMSUGAR,KMSUGAR,136364292,3754753
BASML,BASML,136364548,
PBAINFRA,PBAINFRA,136365060,
BRFL,BRFL,136365572,3344897
SORILINFRA,SORILINFRA,136365828,3347457
AIAENG,AIAENG,136366852,3350017
EKC,EKC,136367108,3351297
KERNEX,KERNEX,136367620,
REPRO,REPRO,136367876,3360257
PVR,PVR,136368388,3365633
RMCL,RMCL,136369156,
PUNJLLOYD,PUNJLLOYD,136369412,
BARTRONICS,BARTRONICS,136369668,
CELEBRITY,CELEBRITY,136369924,3369473
EDUCOMP,EDUCOMP,136370180,
NITINSPIN,NITINSPIN,136370692,3372801
ROHLTD,ROHLTD,136370948,3374593
ENIL,ENIL,136371204,3377153
GSPL,GSPL,136371716,3378433
JAGRAN*,JAGRAN,136372484,3382017
INOXLEISUR,INOXLEISUR,136372740,3384577
DYNPRO,DYNPRO,136372996,5456385
SADBHAV,SADBHAV,136373764,3388417
RCOM,RCOM,136374276,3375873
SAKUMA,SAKUMA,136374532,3392257
KEC,KEC,136374788,3394561
GILLANDERS,GILLANDERS,136375300,4566785
INDOTECH,INDOTECH,136375556,3398401
BLKASHYAP,BLKASHYAP,136376068,3402241
M&MFIN,M&MFIN,136376324,3400961
VISASTEEL,VISASTEEL,136376580,
NITCO,NITCO,136376836,3404801
SOLARINDS,SOLARINDS,136377604,3412993
GALLANTT,GALLANTT,136377860,3414273
MALUPAPER,MALUPAPER,136378372,3418113
UTTAMSUGAR,UTTAMSUGAR,136378628,3424257
SGL,SGL,136378884,3421953
KKCL,KKCL,136379396,3425537
SUNTV,SUNTV,136379652,3431425
GPIL,GPIL,136379908,3432705
RSYSTEMINT,RSYSTEMS,136380164,3433985
EMKAY,EMKAY,136380676,3435777
TANTIACONS,TANTIACONS,136380932,
LOKESHMACH,LOKESHMACH,136381444,
KAMDHENU,KAMDHENU,136381700,3444993
GTNTEX,GTNTEX,136382468,3449089
PFOCUS,PFOCUS,136383492,
ALLCARGO,ALLCARGO,136383748,3456257
EASUNREYRL,EASUNREYRL,136384260,
GMRINFRA,GMRINFRA,136385028,3463169
TECHM,TECHM,136385284,3465729
MAHINDCIE,MAHINDCIE,136385540,3823873
VOLTAMP,VOLTAMP,136385796,3475713
ATLANTA,ATLANTA,136386308,3477761
DEEPENR,DEEPENR,136386564,4670465
HOVS,HOVS,136386820,3479553
ACE,ACE,136387076,3478273
GEECEE,GEECEE,136387588,3496449
GAYAPROJ,GAYAPROJ,136388356,6405889
FIEMIND,FIEMIND,136388612,3509761
JHS,JHS,136389380,3512321
DCBBANK,DCBBANK,136389636,3513601
GLOBALVECT,GLOBALVECT,136389892,3516161
INSPIRISYS,INSPIRISYS,136390148,3514881
GTLINFRA,GTLINFRA,136390404,3518721
SHIVAMAUTO,SHIVAMAUTO,136390660,
NAUKRI,NAUKRI,136390916,3520257
TORNTPOWER,TORNTPOWER,136391428,3529217
PARSVNATH,PARSVNATH,136391684,3530497
SUTLEJTEX,SUTLEJTEX,136392196,3533057
DAAWAT,DAAWAT,136392452,3536897
SOBHA,SOBHA,136392708,3539457
RUCHIRA,RUCHIRA,136392964,3538177
TANLA,TANLA,136394244,3577857
ZEEMEDIA,ZEEMEDIA,136395268,3584769
SITINET,SITINET,136395524,
LUMAXTECH,LUMAXTECH,136395780,3587585
AUTOIND,AUTOIND,136396036,3611137
NETWORK18,NETWORK18,136396292,3612417
HUBTOWN,HUBTOWN,136396548,3635969
TV18BRDCST,TV18BRDCST,136396804,3637249
CTE,CTE,136397060,3639809
TIIL,TIIL,136397828,3641089
REDINGTON,REDINGTON,136398084,3649281
CINELINE,CINELINE,136398596,6953217
PGIL,PGIL,136398852,3650561
FSL,FSL,136399108,3661825
PFC,PFC,136399364,3660545
AHLUCONT,AHLUCONT,136399620,4565249
TFL,TFL,136399876,
CANDC,CANDC,136400132,
INDIANB,INDIANB,136400388,3663105
SMSPHARMA,SMSPHARMA,136400644,3668225
ORIENTALTL,ORIENTALTL,136401156,3672577
MINDTREE,MINDTREE,136401668,3675137
IDEA,IDEA,136402436,3677697
RAJTV,RAJTV,136403460,3687169
PAGEIND,PAGEIND,136403716,3689729
AMDIND,AMDIND,136403972,3685889
ASTRAL,ASTRAL,136404484,3691009
IBREALEST,IBREALEST,136404996,3699201
CAMLINFINE,CAMLINFINE,136405508,1591297
ICRA,ICRA,136405764,3717889
DISHTV,DISHTV,136406788,3721473
SRHHYPOLTD,SRHHYPOLTD,136407556,3732993
FORTIS,FORTIS,136407812,3735553
TGBHOTELS,TGBHOTELS,136408324,
HILTON,HILTON,136408836,
DELTACORP,DELTACORP,136409092,3851265
MIC,MIC,136409604,
INSECTICID*,INSECTICID,136409860,3752193
MCDHOLDING,MCDHOLDING,136410116,3753473
ASAHISONG,ASAHISONG,136410372,6422529
NITINFIRE,NITINFIRE,136410628,
TIMETECHNO,TIMETECHNO,136411140,3764993
HGS,HGS,136411908,3766273
NELCAST,NELCAST,136413188,3778817
V2RETAIL,V2RETAIL,136413956,3780097
DLF,DLF,136414212,3771393
TARMAT,TARMAT,136414468,3781377
ANKITMETAL,ANKITMETAL,136414724,
SPARC,SPARC,136415236,3785729
HDIL,HDIL,136415492,
ADSL,ADSL,136416004,3792129
ALPA,ALPA,136416772,
OMAXE,OMAXE,136417284,3802369
REFEX,REFEX,136418308,4547585
CENTRALBK,CENTRALBK,136418564,3812865
NTL,NTL,136419076,
ASIANTILES,ASIANTILES,136419332,3811585
KPRMILL,KPRMILL,136419588,3817473
TAKE,TAKE,136419844,3818753
PURVA,PURVA,136420100,3820033
MOTILALOFS,MOTILALOFS,136420356,3826433
INDOWIND,INDOWIND,136420868,3827713
NAGREEKCAP,NAGREEKCAP,136421124,3825153
MAGNUM,MAGNUM,136421380,
POWERGRID,POWERGRID,136421892,3834113
KSCL,KSCL,136422148,3832833
PAISALO,PAISALO,136422404,6519809
CCCL,CCCL,136422916,
MAANALU,MAANALU,136423940,3844353
IL&FSENGG,IL&FSENGG,136424196,
RELIGARE,RELIGARE,136426244,3857409
BVCL,BVCL,136426500,
ADANIPORTS,ADANIPORTS,136427780,3861249
EDELWEISS,EDELWEISS,136428036,3870465
RGL,RGL,136428292,3873025
KOLTEPATIL,KOLTEPATIL,136428548,3871745
KAUSHALYA,KAUSHALYA,136428804,3874817
JYOTHYLAB,JYOTHYLAB,136429060,3877377
ECLERX,ECLERX,136429316,3885825
TRIL,TRIL,136429572,3884545
BRIGADE,BRIGADE,136429828,3887105
BGRENERGY,BGRENERGY,136430084,3888385
MANAKSIA,MANAKSIA,136430596,3890945
PPAP,PPAP,136431108,3893505
ARIES,ARIES,136431364,3892225
KUANTUM,KUANTUM,136431876,3550721
RPOWER,RPOWER,136432388,3906305
JKIL,JKIL,136432644,3908097
CORDSCABLE,CORDSCABLE,136432900,3909377
KNRCON,KNRCON,136433156,3912449
ONMOBILE,ONMOBILE,136433668,3911169
SHRIRAMEPC,SHRIRAMEPC,136433924,3918849
BANG,BANG,136434180,3917569
IRB,IRB,136434436,3920129
GSS,GSS,136435460,3928833
NAHARCAP,NAHARCAP,136435716,3932161
VGUARD,VGUARD,136435972,3932673
RECLTD,RECLTD,136436484,3930881
GAMMNINFRA,GAMMNINFRA,136437508,3939585
DHANI,DHANI,136437764,3938305
TWL,TWL,136439300,3945985
KIRIINDUS,KIRIINDUS,136439556,4259585
BIRLAMONEY,BIRLAMONEY,136441348,3901185
JAIBALAJI,JAIBALAJI,136441860,2881537
BAJAJ-AUTO,BAJAJ-AUTO,136442116,4267265
BAJAJFINSV,BAJAJFINSV,136442372,4268801
GOKUL,GOKUL,136442884,4276481
RPGLIFE,RPGLIFE,136443652,4281601
NIRAJ,NIRAJ,136444420,65281
RBL,RBL,136444676,4286721
RANEENGINE,RANEENGINE,136444932,4288257
BAFNAPHARM,BAFNAPH,136445188,4541953
ARCHIDPLY,ARCHIDPLY,136446468,
LEHIL,LOTUSEYE,136447492,4302593
SOMICONV,SOMICONVEY,136448260,4555265
LGBFORGE,LGBFORGE,136449796,4312321
LPDC,LPDC,136451076,4316929
SICAGEN,SICAGEN,136451588,
20MICRONS,20MICRONS,136453636,4331777
WABCOINDIA,WABCOINDIA,136453892,4330241
ALKALI,ALKALI,136455428,4341505
ISGEC,ISGEC,136456452,852225
IMFA,IMFA,136460036,4924161
GISOLUTION,GISOLUTION,136460292,4350977
MOLDTKPAC,MOLDTKPAC,136468484,1718529
MHRIL,MHRIL,136470532,4437249
EXCEL,EXCEL,136471044,
RAJOIL,ROML,136471812,91905
ADANIPOWER,ADANIPOWER,136472580,4451329
NHPC,NHPC,136473092,4454401
GLOBUSSPR,GLOBUSSPR,136474628,4460545
OIL,OIL,136475140,4464129
RNAVAL,RNAVAL,136475396,
EXPLEOSOL,EXPLEOSOL,136478980,4476417
RTNPOWER,RTNPOWER,136479236,4485121
DEN,DEN,136483076,4536833
ASTEC,ASTEC,136483332,4538369
COX&KINGS,COX&KINGS,136484868,
DLINKINDIA,DLINKINDIA,136485380,4569857
JSWENERGY,JSWENERGY,136485892,4574465
GODREJPROP,GODREJPROP,136486404,4576001
DBCORP,DBCORP,136486660,4577537
MBLINFRA,MBLINFRA,136486916,4615425
JUBLFOOD,JUBLFOOD,136487684,4632577
VASCONEQ,VASCONEQ,136487940,4636161
SYNCOM,SYNCOM,136488196,
THANGAMAYL,THANGAMAYL,136488452,4638209
DBREALTY,DBREALTY,136488964,4639745
EMMBI,EMMBI,136489220,4644353
HATHWAY,HATHWAY,136489476,4647425
ARSSINFRA,ARSSINFRA,136489732,
TEXMOPIPES,TEXMOPIPES,136489988,4662785
SUNDARAM,SUNDARAM,136490500,4846337
ROSSELLIND,ROSSELLIND,136491012,7401729
MANINFRA,MANINFRA,136491268,4665857
IL&FSTRANS,IL&FSTRANS,136493316,
PERSISTENT,PERSISTENT,136493828,4701441
ISFT,ISFT,136494340,4730625
GOENKA,GOENKA,136496388,
KCPSUGIND,KCPSUGIND,136497156,1231105
KECL,KECL,136497412,
TARAPUR,TARAPUR,136499972,
SJVN,SJVN,136500740,4834049
JPINFRATEC,JPINFRATEC,136500996,
EMAMIPAP,EMAMIPAP,136501252,2578945
HMVL,HMVL,136503556,4918017
EMAMIREAL,EMAMIREAL,136503812,4934913
AHLWEST,AHLWEST,136504580,4957697
AHLEAST,AHLEAST,136506116,4976129
BAJAJCON,BAJAJCON,136506628,4999937
PRAKASHSTL,PRAKASHSTL,136509188,
GPPL,GPPL,136511492,5051137
WELINV,WELINV,136512516,5068801
INDOSOLAR,INDOSOLAR,136513796,
SASTASUNDR,SASTASUNDR,136514308,5136129
CAREERP,CAREERP,136514564,5142017
EROSMEDIA,EROSMEDIA,136514820,5140481
RAMKY,RAMKY,136515076,5154305
GREENPOWER,GREENPOWER,136515332,5148161
GALLISPAT,GALLISPAT,136515844,5155841
CANTABIL,CANTABIL,136516356,5160961
WABAG,WABAG,136516868,5168129
BEDMUTHA,BEDMUTHA,136517124,5170177
ASHOKA,ASHOKA,136517380,5166593
CEBBCO,CEBBCO,136517636,5177345
OBEROIRLTY,OBEROIRLTY,136517892,5181953
PRESTIGE,PRESTIGE,136518148,5197313
GAL,GAL,136518404,
COALINDIA,COALINDIA,136519172,5215745
GRAVITA,GRAVITA,136520196,5256705
RPPINFRA,RPPINFRA,136520708,5314561
MOIL,MOIL,136521220,5332481
ZEELEARN,ZEELEARN,136521476,5338113
A2ZINFRA,A2ZINFRA,136522756,
KIRLOSENG,KIRLOSENG,136523012,5359617
RKDL,RKDL,136523268,5363201
PSB,PSB,136523524,5376257
FMNL,FMNL,136523780,5380353
SURANASOL,SURANASOL,136524292,5395713
KICL,KICL,136525316,5406465
BFINVEST,BFINVEST,136525572,5404929
SUMMITSEC,SUMMITSEC,136526340,5446401
STEL,STEL,136528900,5499905
JUBLINDS,JUBLINDS,136529924,5514497
TEXRAIL,TEXRAIL,136531460,5587969
INDTERRAIN,INDTERRAIN,136532228,5620993
FCL,FCL,136533252,1586689
DHUNINV,DHUNINV,136534020,5691649
ZENTEC,ZENTEC,136534788,1922049
LOVABLE,LOVABLE,136535812,
PFS,PFS,136536068,5786113
TCIDEVELOP,TCIDEVELOP,136548612,6003713
MUTHOOTFIN,MUTHOOTFIN,136549892,6054401
FCONSUMER,FCONSUMER,136550404,7689729
KARMAENG,KARMAENG,136563460,6242561
EBIXFOREX,EBIXFOREX,136563716,6244097
RUSHIL,RUSHIL,136568324,
KRIINFRA,KRIDHANINF,136571396,
INVENTURE,INVENTURE,136577540,6366721
L&TFH,L&TFH,136580868,6386689
YAARII,YAARII,136581124,6399745
TREEHOUSE,TREEHOUSE,136586244,
BROOKS,BROOKS,136587012,6434817
RUPA,RUPA,136589316,6585345
TDPOWERSYS,TDPOWERSYS,136589572,6445569
APLLTD,APLLTD,136594692,6483969
VASWANI,VASWANI,136595460,6487041
PGEL,PGEL,136596740,6491649
SETUINFRA,SETUINFRA,136602884,
TIJARIA,TIJARIA,136609028,6523393
ONELIFECAP,ONELIFECAP,136609796,6525953
FLEXITUFF,FLEXITUFF,136611332,
UJAAS,UJAAS,136612868,6537217
TRITURBINE,TRITURBINE,136615684,6549505
INDOTHAI,INDOTHAI,136621060,
ESSARSHPNG,ESSARSHPNG,136628228,6562305
APLAPOLLO,APLAPOLLO,136642052,6599681
GPTINFRA,GPTINFRA,136642820,4527361
THOMASCOTT,THOMASCOTT,136688900,
TERASOFT,TERASOFT,136699396,4938753
ORIENTREF,ORIENTREF,136723460,7977729
MCX,MCX,136727300,7982337
SCHNEIDER,SCHNEIDER,136739588,7995905
NBCC,NBCC,136783108,8042241
MTEDUCARE,MTEDUCARE,136783876,8040705
HEXATRADEX,HEXATRADEX,136787972,6914049
TBZ,TBZ,136798468,6921473
VSSL,VSSL,136804356,6929153
SPECIALITY,SPECIALITY,136812804,6939393
LYPSAGEMS,LYPSAGEMS,136840196,8055809
RTNINDIA,RTNINDIA,136856836,6988033
SEPOWER,SEPOWER,136857092,
NECCLTD,NECCLTD,136861444,3461633
DUCON,DUCON,136876548,7411713
PROZONINTU,PROZONINTU,136876804,
ZUARI,ZUARI,136893956,7436801
STEELXIND,STEELXIND,136895492,5462785
CIGNITI,CIGNITITEC,136898052,1316353
CARERATING,CARERATING,136909828,7452929
PCJEWELLER,PCJEWELLER,136911108,7455745
INDUSTOWER,INDUSTOWER,136912900,7458561
VMART,VMART,136953860,7496705
REPCOHOME,REPCOHOME,137042436,7577089
NIBL,NIBL,137077252,
SREEL,SREEL,137113860,8150273
SHARDA,SHARDAMOTR,137114116,2695681
JUSTDIAL,JUSTDIAL,137125892,7670273
